epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,29.4174,0.73268,0.8697,0.97697,0.82202,0.80223,0.87083,0.71545,0.70748,1.36874,1.0594,0.000314781,0.000314781,0.000314781
19,30.5897,0.77583,0.96458,1.05412,0.78616,0.83604,0.84726,0.71977,0.68792,1.53229,1.11758,0.000325137,0.000325137,0.000325137
20,31.9766,0.765,0.91133,1.00141,0.73441,0.90423,0.84034,0.68582,0.72401,1.55145,1.11136,0.000334669,0.000334669,0.000334669
21,33.0021,0.72084,0.71497,0.9149,0.77541,0.89901,0.84726,0.69271,0.77219,1.36767,1.1264,0.000343375,0.000343375,0.000343375
22,34.2285,0.60819,0.70443,0.93894,0.84755,0.90438,0.84608,0.68701,0.75381,1.16555,1.10538,0.000351256,0.000351256,0.000351256
23,35.8104,0.65058,0.74106,0.95748,0.84907,0.87786,0.83875,0.66794,0.73751,1.2166,1.02136,0.000358313,0.000358313,0.000358313
24,37.0207,0.68594,0.64691,0.91383,0.83687,0.90239,0.87908,0.73534,0.76519,0.96695,1.02908,0.000364544,0.000364544,0.000364544
25,38.1486,0.76398,0.73253,1.04247,0.88964,0.9543,0.91208,0.7132,0.83727,0.92036,1.08127,0.00036995,0.00036995,0.00036995
26,39.1722,0.72372,0.72227,0.98206,0.85302,0.96022,0.91208,0.6944,0.89173,0.86827,1.13924,0.000374531,0.000374531,0.000374531
27,40.1883,0.64645,0.63993,0.94762,0.80103,0.973,0.87062,0.68003,0.81427,0.7862,1.0657,0.000378287,0.000378287,0.000378287
28,41.1789,0.66986,0.71312,0.98264,0.80103,0.973,0.87062,0.68003,0.81427,0.7862,1.0657,0.000381219,0.000381219,0.000381219
29,42.2601,0.73592,0.72214,0.99504,0.92455,0.90352,0.995,0.8195,0.73283,0.66565,0.99709,0.000383325,0.000383325,0.000383325
30,43.4236,0.70977,0.61643,0.9859,0.78848,0.98031,0.995,0.78865,0.79352,0.66706,1.05496,0.000384606,0.000384606,0.000384606
31,44.4486,0.64446,0.5314,0.94476,0.78848,0.98031,0.995,0.78865,0.79352,0.66706,1.05496,0.000385062,0.000385062,0.000385062
32,45.4339,0.787,0.84146,1.08629,0.79034,0.86357,0.91167,0.69495,0.92718,0.7288,1.1988,0.000384694,0.000384694,0.000384694
33,46.5715,0.597,0.59604,0.92497,0.78202,0.85956,0.91167,0.63523,1.01961,0.83108,1.3024,0.0003835,0.0003835,0.0003835
34,48.1911,0.68961,0.73826,0.95951,0.78202,0.85956,0.91167,0.63523,1.01961,0.83108,1.3024,0.000381481,0.000381481,0.000381481
35,49.5476,0.66302,0.62668,0.99437,0.97302,0.89362,0.995,0.68634,1.0966,0.8195,1.36281,0.000378637,0.000378637,0.000378637
36,50.5836,0.59486,0.5584,0.91633,0.95898,0.90903,0.995,0.69097,0.88229,0.86223,1.14757,0.000374969,0.000374969,0.000374969
37,51.5709,0.55741,0.52307,0.89812,0.95898,0.90903,0.995,0.69097,0.88229,0.86223,1.14757,0.000370475,0.000370475,0.000370475
38,52.6253,0.56176,0.53221,0.91427,0.96095,0.9196,0.995,0.68119,0.84667,0.79398,1.10516,0.000365156,0.000365156,0.000365156
39,53.6329,0.5784,0.51078,0.88726,0.90678,0.97904,0.995,0.7569,0.8416,0.66215,1.06134,0.000359013,0.000359013,0.000359013
40,54.6363,0.69827,0.62442,1.00692,0.90678,0.97904,0.995,0.7569,0.8416,0.66215,1.06134,0.000352044,0.000352044,0.000352044
41,55.6618,0.5897,0.50109,0.89457,0.86936,0.97698,0.995,0.8024,0.85894,0.64293,1.07726,0.00034425,0.00034425,0.00034425
42,56.7139,0.56752,0.5393,0.94746,0.937,0.93258,0.995,0.80437,0.82717,0.62216,1.0851,0.000335631,0.000335631,0.000335631
43,57.7822,0.5666,0.51208,0.94071,0.937,0.93258,0.995,0.80437,0.82717,0.62216,1.0851,0.000326188,0.000326188,0.000326188
44,58.7787,0.5798,0.54322,0.89889,0.95946,0.90908,0.995,0.84172,0.77,0.59695,1.07892,0.000315919,0.000315919,0.000315919
45,60.1385,0.54053,0.53105,0.89851,0.95946,0.90908,0.995,0.84172,0.77,0.59695,1.07892,0.000304825,0.000304825,0.000304825
46,61.7164,0.5757,0.49697,0.91502,0.84558,0.9443,0.95333,0.78208,0.74233,0.60155,1.06859,0.000292906,0.000292906,0.000292906
47,62.8787,0.49577,0.44847,0.87407,0.84558,0.9443,0.95333,0.78208,0.74233,0.60155,1.06859,0.000280162,0.000280162,0.000280162
48,63.8349,0.56863,0.55301,0.95774,0.85643,0.98992,0.91208,0.7333,0.73108,0.56988,1.05349,0.000266594,0.000266594,0.000266594
49,64.8014,0.58348,0.55843,0.91945,0.85643,0.98992,0.91208,0.7333,0.73108,0.56988,1.05349,0.0002522,0.0002522,0.0002522
50,65.8567,0.52148,0.46157,0.90413,0.86798,0.99596,0.91208,0.74304,0.73506,0.56782,1.06042,0.000236981,0.000236981,0.000236981
51,67.9301,0.4155,0.4202,0.85492,0.86798,0.99596,0.91208,0.74304,0.73506,0.56782,1.06042,0.00021875,0.00021875,0.00021875
52,69.3393,0.4529,0.47271,0.86462,0.87273,0.98902,0.91208,0.73489,0.75424,0.57226,1.08499,0.000198125,0.000198125,0.000198125
53,70.3281,0.49458,0.49455,0.81228,0.87273,0.98902,0.91208,0.73489,0.75424,0.57226,1.08499,0.0001775,0.0001775,0.0001775
54,71.3597,0.42458,0.47516,0.85613,0.85719,0.9749,0.91208,0.73494,0.76569,0.62172,1.09345,0.000156875,0.000156875,0.000156875
55,72.5522,0.43309,0.39812,0.82971,0.85719,0.9749,0.91208,0.73494,0.76569,0.62172,1.09345,0.00013625,0.00013625,0.00013625
56,74.0417,0.43962,0.45835,0.83718,0.81849,0.96551,0.91208,0.73494,0.74479,0.61678,1.07204,0.000115625,0.000115625,0.000115625
57,75.2827,0.40601,0.41523,0.85445,0.81849,0.96551,0.91208,0.73494,0.74479,0.61678,1.07204,9.5e-05,9.5e-05,9.5e-05
58,76.2818,0.4374,0.41157,0.84004,0.79916,0.96983,0.91208,0.74518,0.7256,0.63278,1.04819,7.4375e-05,7.4375e-05,7.4375e-05
59,77.2983,0.37563,0.37232,0.83757,0.79916,0.96983,0.91208,0.74518,0.7256,0.63278,1.04819,5.375e-05,5.375e-05,5.375e-05
60,78.287,0.37798,0.38185,0.83639,0.79631,0.96906,0.95333,0.79057,0.7255,0.62192,1.04686,3.3125e-05,3.3125e-05,3.3125e-05
